symbol,timestamp,open,high,low,close,volume,vwap
XBTUSD,2017-12-10T16:25:00.000Z,15591.0,15739.5,15590.5,15643.0,3988729,15678.8962
XBTUSD,2017-12-10T16:30:00.000Z,15643.0,15882.0,15649.5,15865.0,4863697,15795.293
XBTUSD,2017-12-10T16:35:00.000Z,15865.0,15865.0,15700.5,15743.5,5684803,15775.3589
XBTUSD,2017-12-10T16:40:00.000Z,15743.5,15744.0,15580.0,15608.5,5498679,15637.2166
XBTUSD,2017-12-10T16:45:00.000Z,15608.5,15650.0,15454.0,15454.5,5782371,15561.7803
XBTUSD,2017-12-10T16:50:00.000Z,15454.5,15500.0,15250.0,15491.5,14519311,15375.1538
XBTUSD,2017-12-10T16:55:00.000Z,15491.5,15549.0,15417.0,15448.5,4303623,15467.9041
XBTUSD,2017-12-10T17:00:00.000Z,15448.5,15448.5,15249.0,15337.5,7201914,15337.4233
XBTUSD,2017-12-10T17:05:00.000Z,15337.5,15496.5,15275.0,15480.5,4531223,15375.1538
XBTUSD,2017-12-10T17:10:00.000Z,15480.5,15577.5,15460.0,15493.0,4068164,15501.4726
XBTUSD,2017-12-10T17:15:00.000Z,15493.0,15535.0,15440.0,15500.0,2496811,15484.6702
XBTUSD,2017-12-10T17:20:00.000Z,15500.0,15500.0,15420.5,15498.5,2263971,15448.7873
XBTUSD,2017-12-10T17:25:00.000Z,15498.5,15589.0,15493.0,15505.5,2976471,15532.7742
XBTUSD,2017-12-10T17:30:00.000Z,15505.5,15505.0,15423.0,15496.0,3169649,15467.9041
XBTUSD,2017-12-10T17:35:00.000Z,15496.0,15683.5,15496.0,15632.5,6090994,15598.1906
XBTUSD,2017-12-10T17:40:00.000Z,15632.5,15653.0,15540.5,15570.0,4875005,15581.1779
XBTUSD,2017-12-10T17:45:00.000Z,15570.0,15632.0,15499.0,15565.0,3227074,15554.5186
XBTUSD,2017-12-10T17:50:00.000Z,15565.0,15565.5,15450.0,15500.5,2661366,15499.0701
XBTUSD,2017-12-10T17:55:00.000Z,15500.5,15596.5,15487.5,15529.0,2510987,15527.9503
XBTUSD,2017-12-10T18:00:00.000Z,15529.0,15600.0,15524.5,15559.5,1692060,15561.7803
XBTUSD,2017-12-10T18:05:00.000Z,15559.5,15560.0,15453.5,15459.0,2357776,15496.6682
